id_comedien,nom,prenom,mail,dateNaiss,taille,poids,sexe
3000,Danny,Sutton,Danny@Sutton.jyh,1988-10-25,173.3,108.7,M
3001,Paul,Bellantoni,Paul@Bellantoni.jrz,1944-9-26,205.4,82.9,M
3002,James,Trim,James@Trim.kjf,1997-8-14,176.4,49.2,M
3003,Isaac,Chase,Isaac@Chase.hok,1968-2-9,207.9,120.6,F
3004,Diana,Kennedy,Diana@Kennedy.geh,1967-11-15,146.1,85.4,M
3005,Maryanne,Mullins,Maryanne@Mullins.ngo,1977-9-9,163.5,128.2,M
3006,Marcela,Sullivan,Marcela@Sullivan.muw,1943-8-26,220.0,40.4,M
3007,Benjamin,Flaherty,Benjamin@Flaherty.kph,1987-3-21,147.3,104.6,M
3008,Rebecca,Schlenz,Rebecca@Schlenz.fjm,1952-1-18,182.0,61.5,F
3009,Kathleen,Clayton,Kathleen@Clayton.gxc,1983-5-5,170.2,60.2,M
3010,John,Smith,John@Smith.gkm,1947-9-20,211.7,42.6,F
3011,Edward,Fleming,Edward@Fleming.isx,1974-7-17,181.0,115.3,M
3012,Theresa,Pearson,Theresa@Pearson.emi,1974-1-17,184.9,94.6,F
3013,David,Welch,David@Welch.zyn,1976-9-24,154.4,114.1,M
3014,Rose,Woodman,Rose@Woodman.eeg,1967-1-22,179.0,48.9,M
3015,Mary,Pinckney,Mary@Pinckney.gkj,1953-2-26,217.8,92.9,M
3016,Amanda,Squires,Amanda@Squires.qnu,1940-6-12,181.4,79.6,F
3017,John,Talbot,John@Talbot.tmi,1989-7-14,204.3,69.0,M
3018,Melba,Titus,Melba@Titus.nis,1998-3-2,155.8,120.5,M
3019,Mary,Kinsinger,Mary@Kinsinger.zff,1960-10-11,179.8,80.1,M
3020,Mary,Welch,Mary@Welch.qme,1974-9-12,208.5,126.2,M
3021,Hillary,Cox,Hillary@Cox.adk,1986-1-15,168.2,123.6,F
3022,Martin,Luther,Martin@Luther.yfx,1982-10-26,158.2,108.1,M
3023,Freddie,Spears,Freddie@Spears.ofi,1997-5-11,160.6,60.1,M
3024,Tish,Wagner,Tish@Wagner.aeb,1974-4-15,200.7,50.9,M
3025,Antonio,Alvarez,Antonio@Alvarez.tkw,1942-1-24,202.4,72.3,M
3026,Adam,Worthington,Adam@Worthington.szw,1943-12-4,144.1,115.7,F
3027,John,Rathburn,John@Rathburn.qhy,1957-10-15,202.6,95.0,M
3028,Thelma,Holyfield,Thelma@Holyfield.dwn,1967-10-21,151.2,69.5,M
3029,Arnold,Gammage,Arnold@Gammage.yhc,1967-7-12,216.2,104.5,M
3030,Samuel,Mason,Samuel@Mason.dpx,1975-6-4,165.0,67.0,F
3031,Carlos,Canclini,Carlos@Canclini.nzo,1986-8-21,213.3,49.8,M
3032,Mark,Skow,Mark@Skow.ths,1984-4-2,169.8,98.1,F
3033,Josefa,Ryan,Josefa@Ryan.dye,1979-6-26,190.8,54.6,M
3034,Lisa,Harrison,Lisa@Harrison.hlw,1950-9-1,166.3,94.1,M
3035,Dana,Truitt,Dana@Truitt.ems,1981-9-11,178.7,120.6,M
3036,Hazel,Robison,Hazel@Robison.edd,1982-10-28,164.9,47.7,F
3037,Connie,Buck,Connie@Buck.tki,1988-7-2,213.1,104.4,M
3038,Alice,Roberts,Alice@Roberts.hpb,1984-7-6,219.0,111.1,M
3039,Robert,Henderson,Robert@Henderson.zrw,1965-7-19,181.1,122.1,M
3040,Isabelle,Perry,Isabelle@Perry.fjh,1985-4-28,193.4,41.7,M
3041,Jane,Harman,Jane@Harman.crz,1958-1-5,141.5,108.2,M
3042,Anna,Chaffin,Anna@Chaffin.eov,1945-10-12,191.1,127.3,M
3043,Debra,Phillips,Debra@Phillips.hzx,1964-1-11,157.9,92.7,M
3044,Iluminada,Gebert,Iluminada@Gebert.bmb,1990-5-27,207.1,72.1,M
3045,Peter,Butler,Peter@Butler.wwr,1963-10-16,162.2,43.1,M
3046,Scott,Castillo,Scott@Castillo.tvc,1998-1-19,204.0,62.1,M
3047,Carey,Curling,Carey@Curling.zub,1968-8-25,176.9,43.9,M
3048,Trish,Emery,Trish@Emery.mgh,1999-4-18,184.6,82.7,F
3049,Sarah,Ripley,Sarah@Ripley.osz,1965-10-11,202.6,47.4,M
3050,Aubrey,Humble,Aubrey@Humble.alw,1974-9-23,150.8,116.3,M
3051,Connie,Shaw,Connie@Shaw.gnc,1968-6-25,200.8,113.6,M
3052,Louis,Davis,Louis@Davis.ray,1989-7-1,166.6,77.9,F
3053,Gregory,Waddell,Gregory@Waddell.wuz,1982-11-23,218.0,56.2,M
3054,Betty,Urban,Betty@Urban.asl,1983-1-1,169.5,67.6,M
3055,Paul,Hickman,Paul@Hickman.qti,1980-5-12,213.6,77.5,M
3056,David,Thomas,David@Thomas.yhq,1962-10-21,149.6,111.3,M
3057,Monica,Kutz,Monica@Kutz.ncz,1983-11-21,196.8,104.5,M
3058,Hester,Moeller,Hester@Moeller.fzt,1958-6-2,178.9,50.6,M
3059,Carlos,Zuniga,Carlos@Zuniga.hwk,1953-4-18,184.2,57.2,M
3060,Betty,Kyles,Betty@Kyles.pki,1956-3-7,177.5,49.9,F
3061,Laura,Lupkes,Laura@Lupkes.zls,1981-12-15,206.0,117.6,M
3062,Geraldine,Smith,Geraldine@Smith.kqf,1958-4-6,159.4,124.9,M
3063,Hilda,Sanford,Hilda@Sanford.ezt,1972-1-22,185.6,50.2,M
3064,James,Turner,James@Turner.jiu,2001-9-27,182.7,82.7,F
3065,Todd,Sole,Todd@Sole.atg,1956-7-27,199.3,116.8,M
3066,Peggy,Rodney,Peggy@Rodney.uhi,1964-6-22,188.5,40.9,M
3067,Craig,Davis,Craig@Davis.uvu,1984-9-12,196.1,57.9,M
3068,Jessica,Cohen,Jessica@Cohen.ngu,1945-9-14,192.4,47.7,F
3069,Darrell,Morein,Darrell@Morein.cbw,2001-6-25,179.0,117.3,M
3070,Patricia,Cureton,Patricia@Cureton.jgm,1946-10-16,175.0,55.9,M
3071,Joe,Carroll,Joe@Carroll.ryn,1980-9-18,183.1,128.6,F
3072,Steven,Richard,Steven@Richard.ddd,1990-12-24,151.9,87.0,F
3073,Robert,Smith,Robert@Smith.scd,1982-6-21,219.5,111.4,M
3074,Leonard,Fredericks,Leonard@Fredericks.otb,1952-10-26,150.6,54.1,M
3075,Linda,Lewis,Linda@Lewis.pak,1992-9-8,145.8,114.2,F
3076,Lester,Greenwood,Lester@Greenwood.zwx,1991-10-24,219.2,105.6,M
3077,Kim,Weeks,Kim@Weeks.uuu,1942-3-10,195.3,51.7,M
3078,Deborah,Langston,Deborah@Langston.egd,1978-6-27,166.1,96.3,M
3079,Keven,Galvan,Keven@Galvan.khk,1940-5-1,192.1,94.8,M
3080,Israel,Brandt,Israel@Brandt.zqp,2008-11-14,143.9,56.7,M
3081,William,Jackson,William@Jackson.igk,1984-6-1,164.6,122.2,M
3082,Norma,Delahoussaye,Norma@Delahoussaye.fmg,1977-9-19,158.6,65.5,M
3083,Ralph,Ankney,Ralph@Ankney.xao,1940-3-13,206.1,110.7,F
3084,Mary,Martin,Mary@Martin.vfj,1973-3-13,143.2,57.7,F
3085,Harry,Foster,Harry@Foster.exi,1976-9-23,174.6,61.8,M
3086,Maria,Miller,Maria@Miller.cot,1968-9-9,211.5,71.8,M
3087,John,Mccarville,John@Mccarville.led,1954-5-22,158.8,52.7,M
3088,John,Perino,John@Perino.ydc,1954-8-11,194.8,96.2,M
3089,Jeremiah,Miranda,Jeremiah@Miranda.lfe,1960-7-28,146.7,41.2,F
3090,Mark,Leonard,Mark@Leonard.soz,1941-10-24,170.7,98.1,F
3091,Sarah,Crane,Sarah@Crane.xrj,1975-8-3,153.0,61.5,M
3092,Vincent,Simmons,Vincent@Simmons.ewq,1971-12-9,160.1,76.3,M
3093,Raymond,Jones,Raymond@Jones.xid,1948-12-12,218.7,120.6,M
3094,Linda,Dickenson,Linda@Dickenson.xxc,1987-12-22,167.6,78.6,M
3095,Lessie,Lowery,Lessie@Lowery.ozt,1950-12-11,147.1,102.3,M
3096,Don,Mclemore,Don@Mclemore.css,1952-10-24,216.5,61.0,M
3097,Cody,Ponce,Cody@Ponce.atp,1952-10-13,194.3,67.6,F
3098,Irwin,Denton,Irwin@Denton.yoe,1956-7-26,177.4,123.9,M
3099,Clyde,Jacobsen,Clyde@Jacobsen.oby,1946-4-22,206.3,109.6,M
3100,Fred,Marion,Fred@Marion.hqz,1953-12-19,144.4,88.6,F
3101,Mary,Mcgee,Mary@Mcgee.vhq,1969-10-25,173.3,118.6,F
