id_musicien,nom,prenom,mail,dateNaiss,style,sexe
1,Barbara,Collazo,Barbara@Collazo.gzp,1991-12-15,JAZZ,M
2,Eric,Bishop,Eric@Bishop.ses,1958-3-28,ROCK N ROLL,M
3,Lisa,Stanley,Lisa@Stanley.xzq,1989-12-23,classic,M
4,Tara,Webber,Tara@Webber.rgg,1955-6-17,ROCK N ROLL,M
5,Michael,Lederman,Michael@Lederman.bnb,1994-12-4,ROCK N ROLL,M
6,Luis,Jennings,Luis@Jennings.ncu,1997-9-6,classic,M
7,Rachel,Kinsella,Rachel@Kinsella.paf,1990-11-23,classic,F
8,Albert,Dixon,Albert@Dixon.kml,1947-7-24,classic,M
9,Christina,Bandy,Christina@Bandy.ido,1949-1-23,JAZZ,M
10,Roy,Smith,Roy@Smith.cfe,1958-6-13,ROCK N ROLL,M
11,Stanley,West,Stanley@West.ezk,1971-2-10,classic,F
12,Donald,Moore,Donald@Moore.zue,2005-11-12,ROCK N ROLL,M
13,Lora,Holt,Lora@Holt.isn,1957-9-25,classic,M
14,Stanley,Graff,Stanley@Graff.dlo,1975-4-27,ORIONTAL,M
15,Cathy,Martinez,Cathy@Martinez.dkk,1982-8-15,ROCK N ROLL,F
16,Karen,Ruffin,Karen@Ruffin.sze,1953-11-15,ORIONTAL,M
17,Andrew,Carpino,Andrew@Carpino.kyw,1963-6-3,JAZZ,M
18,George,Nanney,George@Nanney.sdt,2003-12-17,ROCK N ROLL,F
19,Barbara,Zamora,Barbara@Zamora.kfq,1964-4-14,ROCK N ROLL,F
20,Anne,Brister,Anne@Brister.mqc,1973-7-24,ROCK N ROLL,M
21,Kristie,Ryder,Kristie@Ryder.jze,1957-5-8,ORIONTAL,M
22,Frances,Votta,Frances@Votta.shw,1951-9-3,ROCK N ROLL,M
23,Michael,Hale,Michael@Hale.hsp,1959-9-6,ROCK N ROLL,M
24,Daniel,Davis,Daniel@Davis.ihk,1998-7-28,ROCK N ROLL,M
25,Scott,Smith,Scott@Smith.tmu,1986-6-20,ORIONTAL,M
26,Joan,Smith,Joan@Smith.ess,1995-2-15,ROCK N ROLL,F
27,Mary,Conroy,Mary@Conroy.zio,1946-3-19,ROCK N ROLL,M
28,James,Wheeler,James@Wheeler.mye,2000-10-2,JAZZ,M
29,Lucy,Plato,Lucy@Plato.wae,1945-2-6,classic,M
30,Stella,Miyamoto,Stella@Miyamoto.jez,1952-3-3,ROCK N ROLL,M
31,Juanita,Patridge,Juanita@Patridge.bzz,1981-10-8,ORIONTAL,F
32,Jerome,Neagle,Jerome@Neagle.ozf,1997-10-17,ROCK N ROLL,M
33,Brittany,Quinn,Brittany@Quinn.ejd,1945-5-19,JAZZ,F
34,Nancy,Mark,Nancy@Mark.kgf,1942-6-22,ORIONTAL,M
35,Lee,Ballou,Lee@Ballou.poe,1999-3-24,JAZZ,M
36,Tina,Cooper,Tina@Cooper.zbn,1994-2-5,classic,F
37,Mary,Maroon,Mary@Maroon.jpo,1966-10-2,ROCK N ROLL,M
38,Kelly,Hickok,Kelly@Hickok.imf,1946-4-26,classic,F
39,Anthony,Sherling,Anthony@Sherling.map,1956-4-17,ROCK N ROLL,F
40,John,Seeley,John@Seeley.nxc,1975-11-2,classic,M
41,Yolanda,Mullins,Yolanda@Mullins.kxw,1969-10-22,ROCK N ROLL,M
42,Mary,Floyd,Mary@Floyd.avr,1996-11-21,ROCK N ROLL,M
43,Melisa,South,Melisa@South.ael,1969-6-10,ROCK N ROLL,M
44,William,Young,William@Young.jif,1947-8-9,ROCK N ROLL,F
45,Gwendolyn,Mays,Gwendolyn@Mays.moy,1991-11-21,ORIONTAL,M
46,Arlene,Lee,Arlene@Lee.xcr,1988-12-6,ORIONTAL,M
47,Katharine,Phillips,Katharine@Phillips.xll,1964-8-4,ORIONTAL,F
48,Mark,Miller,Mark@Miller.pfl,1945-12-1,JAZZ,M
49,Malcolm,Raymond,Malcolm@Raymond.djj,1950-1-9,JAZZ,M
50,Stephen,Oates,Stephen@Oates.leo,1982-7-8,JAZZ,F
51,Marietta,Muniz,Marietta@Muniz.spq,1941-2-13,JAZZ,M
52,Cecile,Silva,Cecile@Silva.mgh,1988-7-27,classic,M
53,Elba,Lozier,Elba@Lozier.fgs,1953-2-1,JAZZ,M
54,Kenneth,Lindsey,Kenneth@Lindsey.uol,1974-8-1,ORIONTAL,M
55,Kate,King,Kate@King.wje,1973-8-20,classic,M
56,Shawn,Knackstedt,Shawn@Knackstedt.wxc,2005-8-5,JAZZ,F
57,Salvatore,Benzing,Salvatore@Benzing.wco,1987-5-4,classic,M
58,Madeline,Woodard,Madeline@Woodard.bgm,1992-9-26,JAZZ,M
59,Monica,Fay,Monica@Fay.dzo,1979-3-16,JAZZ,M
60,Amy,Gallegos,Amy@Gallegos.njp,1978-3-11,classic,F
61,Jimmie,Wesson,Jimmie@Wesson.yjh,1966-4-25,ORIONTAL,M
62,Barbara,Ozzella,Barbara@Ozzella.kmx,1958-8-19,classic,M
63,Emily,Smith,Emily@Smith.ise,1991-5-5,classic,M
64,Christopher,Williams,Christopher@Williams.tbq,1977-8-24,ROCK N ROLL,M
65,Steven,Steele,Steven@Steele.jzj,1992-7-18,ROCK N ROLL,F
66,Cedric,Johnson,Cedric@Johnson.gnb,2006-9-26,ROCK N ROLL,M
67,Jimmy,Ross,Jimmy@Ross.gsr,2007-10-27,ORIONTAL,M
68,Chase,Harris,Chase@Harris.ufr,1952-12-15,classic,F
69,Yee,Conn,Yee@Conn.vzh,1943-9-25,ROCK N ROLL,M
70,Carol,Stovall,Carol@Stovall.yni,1942-8-22,ROCK N ROLL,M
71,Richard,Smith,Richard@Smith.spy,1972-10-9,JAZZ,M
72,Barbara,Merida,Barbara@Merida.yld,1994-5-24,classic,M
73,Sonya,Gilliland,Sonya@Gilliland.duj,1993-4-9,classic,F
74,Robert,Stephens,Robert@Stephens.kjn,1988-10-19,ROCK N ROLL,F
75,Harry,Jost,Harry@Jost.kpz,1980-6-25,JAZZ,F
76,Patsy,Larkin,Patsy@Larkin.tde,1942-11-9,classic,M
77,Shirley,Zody,Shirley@Zody.cdg,1969-6-26,classic,M
78,Beatrice,Bloch,Beatrice@Bloch.rtg,1949-1-28,JAZZ,F
79,Carol,Jackson,Carol@Jackson.jww,1991-1-5,classic,M
80,Sharon,Gomez,Sharon@Gomez.pot,1977-1-9,classic,M
81,Scott,Walter,Scott@Walter.lxg,1955-10-2,ROCK N ROLL,M
82,Marcos,Harper,Marcos@Harper.trb,1991-9-25,ORIONTAL,F
83,Alvin,Marr,Alvin@Marr.hxy,1953-9-1,ROCK N ROLL,M
84,Tami,Burdick,Tami@Burdick.hwh,1973-1-20,classic,M
85,Ruby,Esquivel,Ruby@Esquivel.dej,1987-3-20,ORIONTAL,M
86,William,Stargel,William@Stargel.kde,1953-8-26,classic,M
87,Rick,Song,Rick@Song.rcl,1957-1-2,JAZZ,M
88,Lloyd,Erickson,Lloyd@Erickson.kwx,2008-7-16,classic,F
89,Christopher,Munoz,Christopher@Munoz.wbv,1946-10-21,ROCK N ROLL,F
90,Gerald,Miller,Gerald@Miller.gey,1999-5-25,classic,M
91,Jeff,Brennan,Jeff@Brennan.zqc,1967-2-17,ROCK N ROLL,M
92,Renee,Duncan,Renee@Duncan.kje,1962-12-2,ROCK N ROLL,M
93,Thomasine,Verstraete,Thomasine@Verstraete.bsz,1957-6-8,ROCK N ROLL,M
94,Sara,Osborne,Sara@Osborne.yol,1985-11-1,JAZZ,M
95,Phyllis,Richardson,Phyllis@Richardson.ibl,2000-11-19,JAZZ,M
96,Julio,Campbell,Julio@Campbell.gni,1971-3-20,classic,M
97,Ricky,Arnaud,Ricky@Arnaud.uug,1956-1-5,ROCK N ROLL,M
98,Matthew,Lara,Matthew@Lara.sth,1965-3-12,JAZZ,M
99,Kendra,Keo,Kendra@Keo.uzz,1955-4-27,ROCK N ROLL,F
100,Jerilyn,Wilson,Jerilyn@Wilson.ftq,1968-3-12,ROCK N ROLL,M
101,Jonathan,Walter,Jonathan@Walter.gqy,1956-3-19,JAZZ,F
102,Brian,Paquet,Brian@Paquet.qef,1995-3-27,ORIONTAL,F
103,Norma,Murray,Norma@Murray.puz,2003-5-6,ROCK N ROLL,F
104,Joseph,Tarr,Joseph@Tarr.byy,1950-6-8,JAZZ,M
105,Clyde,Painter,Clyde@Painter.ien,1980-11-11,JAZZ,F
106,Tommy,Theriault,Tommy@Theriault.vmn,1979-4-9,classic,M
107,Richard,Witman,Richard@Witman.dxx,1998-8-26,ROCK N ROLL,F
108,Charles,Mclean,Charles@Mclean.pad,1961-9-2,ROCK N ROLL,M
109,Kathy,Mcdonald,Kathy@Mcdonald.rca,1967-3-3,ROCK N ROLL,M
110,Edward,Biggs,Edward@Biggs.gxj,1979-9-23,ORIONTAL,M
111,Henry,Loughner,Henry@Loughner.cxs,1962-8-26,ORIONTAL,F
112,Karen,Brown,Karen@Brown.owj,1973-1-17,classic,F
113,Ralph,Ellingsworth,Ralph@Ellingsworth.ixb,1944-2-26,ORIONTAL,F
114,John,Torrie,John@Torrie.fvh,1970-4-26,JAZZ,M
115,Sandra,Rasmusson,Sandra@Rasmusson.ldu,1966-5-6,ROCK N ROLL,M
116,Bill,Holloway,Bill@Holloway.mlb,1940-2-7,ORIONTAL,M
117,Helen,Rebello,Helen@Rebello.ous,1958-5-21,classic,F
118,Kristin,Curtis,Kristin@Curtis.tkw,1998-6-4,classic,F
119,Margret,Reyes,Margret@Reyes.hwr,1973-3-2,JAZZ,M
120,Tracy,Dagle,Tracy@Dagle.btc,2009-7-20,JAZZ,M
121,Dennis,Stuart,Dennis@Stuart.lgl,1974-8-9,JAZZ,F
122,Travis,Paoli,Travis@Paoli.mlo,1940-5-23,ROCK N ROLL,M
123,Kristie,Richardson,Kristie@Richardson.vfl,1942-11-20,classic,M
124,Deborah,Chaney,Deborah@Chaney.mvd,2003-2-8,ROCK N ROLL,M
125,Ronda,Hogan,Ronda@Hogan.mud,1971-11-15,ROCK N ROLL,M
126,John,Moy,John@Moy.ota,1953-1-25,ROCK N ROLL,M
127,Joseph,Baker,Joseph@Baker.wzl,1991-8-4,ORIONTAL,F
128,Marcelle,Brewer,Marcelle@Brewer.ybk,1961-4-2,ROCK N ROLL,M
129,Raymond,Thornton,Raymond@Thornton.tab,1996-12-28,ROCK N ROLL,M
130,Max,Douglas,Max@Douglas.lqz,1970-6-26,JAZZ,M
131,Michael,Sword,Michael@Sword.hpc,1955-1-9,JAZZ,M
132,Joseph,Lopez,Joseph@Lopez.afr,1954-2-25,ROCK N ROLL,F
133,Dale,Cortez,Dale@Cortez.rgp,2006-4-10,classic,M
134,Jessica,Roussel,Jessica@Roussel.vzl,1964-1-9,ROCK N ROLL,M
135,Timothy,Garcia,Timothy@Garcia.bij,1962-4-26,ORIONTAL,M
136,David,Matson,David@Matson.wso,1948-1-13,JAZZ,M
137,Curtis,Brown,Curtis@Brown.xue,1977-9-10,classic,M
138,Sue,Helms,Sue@Helms.jwc,1958-7-5,ROCK N ROLL,M
139,Abraham,Young,Abraham@Young.wfe,2009-9-8,ROCK N ROLL,M
140,Elmer,Hayes,Elmer@Hayes.zto,2001-2-8,ORIONTAL,M
141,Dorothy,Woodruff,Dorothy@Woodruff.syd,1953-11-12,ORIONTAL,F
142,Luis,Cooper,Luis@Cooper.pxc,1970-10-24,ORIONTAL,M
143,Susan,Coles,Susan@Coles.gxc,1953-5-10,classic,M
144,Brenda,Hinger,Brenda@Hinger.fkr,1989-11-2,classic,M
145,Pam,Indovina,Pam@Indovina.bmu,1983-3-2,ROCK N ROLL,M
146,Crystal,Freeman,Crystal@Freeman.cyq,1976-7-27,ORIONTAL,M
147,Jesse,Gonzalez,Jesse@Gonzalez.ize,1992-11-23,ORIONTAL,M
148,Patricia,Butcher,Patricia@Butcher.rcx,1961-10-9,ORIONTAL,M
149,Muriel,Medina,Muriel@Medina.fqu,1996-7-4,ROCK N ROLL,M
150,Michael,Bolden,Michael@Bolden.sjp,1966-5-10,JAZZ,F
151,John,Ona,John@Ona.xyh,1983-6-23,ROCK N ROLL,F
152,Keith,Juelfs,Keith@Juelfs.bgl,1956-8-15,ORIONTAL,M
153,Dominic,Pink,Dominic@Pink.lqo,1945-2-6,JAZZ,F
154,Thaddeus,Woods,Thaddeus@Woods.vec,1958-2-25,JAZZ,M
155,Jacqueline,Dunlap,Jacqueline@Dunlap.wmw,1975-2-15,JAZZ,M
156,John,Priolean,John@Priolean.sju,1980-4-19,ROCK N ROLL,M
157,Karen,Schnelder,Karen@Schnelder.kqy,1973-10-1,ORIONTAL,M
158,Chuck,Scruggs,Chuck@Scruggs.wcs,1984-12-20,JAZZ,M
